book_id_csv,genres
39426,non-fiction
87893,"comics, graphic"
117660,"mystery, thriller, crime"
86826,"mystery, thriller, crime"
44981,romance
248763,"fantasy, paranormal"
68661,"fantasy, paranormal"
46421,"fantasy, paranormal"
134472,romance
13250,"mystery, thriller, crime"
238622,non-fiction
89137,"fantasy, paranormal"
40735,"fantasy, paranormal"
12561,"fantasy, paranormal"
44306,romance
27843,"mystery, thriller, crime"
100470,young-adult
300972,"mystery, thriller, crime"
62415,"history, historical fiction, biography"
158445,"mystery, thriller, crime"
185438,"fantasy, paranormal"
116455,"fantasy, paranormal"
168101,"fantasy, paranormal"
51554,"mystery, thriller, crime"
17182,non-fiction
48123,non-fiction
247166,"mystery, thriller, crime"
38725,"mystery, thriller, crime"
108695,"history, historical fiction, biography"
98096,non-fiction
210780,children
1037,children
196978,non-fiction
48828,fiction
112610,romance
73662,children
37165,romance
18288,young-adult
82795,romance
14831,romance
900417,"fantasy, paranormal"
18134,fiction
18691,romance
6022,"fantasy, paranormal"
85384,"comics, graphic"
13322,"fantasy, paranormal"
27984,"fantasy, paranormal"
240278,"comics, graphic"
58594,"mystery, thriller, crime"
147531,"fantasy, paranormal"
101579,children
27729,fiction
88437,"history, historical fiction, biography"
147529,"fantasy, paranormal"
181276,"comics, graphic"
48889,"history, historical fiction, biography"
1228,non-fiction
54544,"comics, graphic"
127030,"comics, graphic"
34857,children
112829,"mystery, thriller, crime"
370234,"mystery, thriller, crime"
676226,children
18141,"history, historical fiction, biography"
39724,romance
69796,non-fiction
65373,romance
3834,romance
241816,"mystery, thriller, crime"
96255,romance
4275,romance
87323,"history, historical fiction, biography"
12321,romance
114934,romance
93494,"fantasy, paranormal"
233859,"history, historical fiction, biography"
280142,"history, historical fiction, biography"
185948,"fantasy, paranormal"
60085,"mystery, thriller, crime"
30028,non-fiction
429166,"history, historical fiction, biography"
83262,"fantasy, paranormal"
4416,"fantasy, paranormal"
298446,romance
2559,romance
39792,"fantasy, paranormal"
