book_id_csv,genres
39426,non-fiction
87893,"comics, graphic"
117660,"mystery, thriller, crime"
86826,"mystery, thriller, crime"
44981,romance
248763,"fantasy, paranormal"
68661,"fantasy, paranormal"
46421,"fantasy, paranormal"
134472,romance
13250,"mystery, thriller, crime"
238622,non-fiction
89137,"fantasy, paranormal"
40735,"fantasy, paranormal"
12561,"fantasy, paranormal"
44306,romance
27843,"mystery, thriller, crime"
100470,young-adult
300972,"mystery, thriller, crime"
62415,"history, historical fiction, biography"
158445,"mystery, thriller, crime"
185438,"fantasy, paranormal"
116455,"fantasy, paranormal"
168101,"fantasy, paranormal"
51554,"mystery, thriller, crime"
17182,non-fiction
48123,non-fiction
247166,"mystery, thriller, crime"
38725,"mystery, thriller, crime"
108695,"history, historical fiction, biography"
98096,non-fiction
210780,children
1037,children
196978,non-fiction
48828,fiction
112610,romance
73662,children
37165,romance
18288,young-adult
82795,romance
14831,romance
900417,"fantasy, paranormal"
18134,fiction
18691,romance
6022,"fantasy, paranormal"
85384,"comics, graphic"
13322,"fantasy, paranormal"
27984,"fantasy, paranormal"
240278,"comics, graphic"
58594,"mystery, thriller, crime"
147531,"fantasy, paranormal"
101579,children
27729,fiction
88437,"history, historical fiction, biography"
147529,"fantasy, paranormal"
181276,"comics, graphic"
48889,"history, historical fiction, biography"
1228,non-fiction
54544,"comics, graphic"
127030,"comics, graphic"
34857,children
112829,"mystery, thriller, crime"
370234,"mystery, thriller, crime"
676226,children
18141,"history, historical fiction, biography"
39724,romance
69796,non-fiction
65373,romance
3834,romance
241816,"mystery, thriller, crime"
96255,romance
4275,romance
87323,"history, historical fiction, biography"
12321,romance
114934,romance
93494,"fantasy, paranormal"
233859,"history, historical fiction, biography"
280142,"history, historical fiction, biography"
185948,"fantasy, paranormal"
60085,"mystery, thriller, crime"
30028,non-fiction
429166,"history, historical fiction, biography"
83262,"fantasy, paranormal"
4416,"fantasy, paranormal"
298446,romance
2559,romance
39792,"fantasy, paranormal"
15971,romance
91443,"fantasy, paranormal"
2120,"mystery, thriller, crime"
96058,romance
19341,"fantasy, paranormal"
64919,"history, historical fiction, biography"
149803,"fantasy, paranormal"
1818,"fantasy, paranormal"
25177,romance
2014,"mystery, thriller, crime"
111056,romance
128201,"fantasy, paranormal"
32264,non-fiction
62148,non-fiction
37813,"comics, graphic"
46867,"history, historical fiction, biography"
87557,children
63204,"fantasy, paranormal"
244827,romance
109924,"fantasy, paranormal"
330199,"mystery, thriller, crime"
77691,non-fiction
65320,romance
250746,romance
16728,non-fiction
78582,"history, historical fiction, biography"
25427,"history, historical fiction, biography"
107576,"fantasy, paranormal"
10301,romance
36922,children
10244,romance
226730,"history, historical fiction, biography"
307837,"history, historical fiction, biography"
79093,romance
1682,young-adult
136756,"history, historical fiction, biography"
1339,non-fiction
128472,"fantasy, paranormal"
88950,"fantasy, paranormal"
365660,non-fiction
37327,young-adult
48153,non-fiction
90424,romance
193489,"mystery, thriller, crime"
114714,romance
166457,"fantasy, paranormal"
135237,"fantasy, paranormal"
150397,"history, historical fiction, biography"
75280,"fantasy, paranormal"
168184,romance
77151,non-fiction
31765,"comics, graphic"
360102,"fantasy, paranormal"
1705,young-adult
174493,young-adult
97001,non-fiction
14419,"comics, graphic"
95182,"fantasy, paranormal"
51985,"mystery, thriller, crime"
97939,romance
130399,"fantasy, paranormal"
367045,"mystery, thriller, crime"
25958,young-adult
87857,romance
169724,romance
41535,non-fiction
80331,"mystery, thriller, crime"
57074,young-adult
92268,romance
50769,"fantasy, paranormal"
151870,"history, historical fiction, biography"
57267,young-adult
112070,romance
74344,children
119318,young-adult
133308,young-adult
131990,"mystery, thriller, crime"
5558,"fantasy, paranormal"
57133,"mystery, thriller, crime"
24673,"mystery, thriller, crime"
91454,"history, historical fiction, biography"
94609,"fantasy, paranormal"
8849,"mystery, thriller, crime"
250558,"mystery, thriller, crime"
40271,"fantasy, paranormal"
149507,non-fiction
8513,romance
247602,"history, historical fiction, biography"
59166,"fantasy, paranormal"
8749,romance
59969,non-fiction
162235,"fantasy, paranormal"
111316,romance
49829,romance
26411,"history, historical fiction, biography"
199290,non-fiction
13158,"fantasy, paranormal"
62393,"history, historical fiction, biography"
389792,"mystery, thriller, crime"
34913,"history, historical fiction, biography"
7410,"history, historical fiction, biography"
310235,"history, historical fiction, biography"
48336,"history, historical fiction, biography"
42106,young-adult
36027,"history, historical fiction, biography"
111259,romance
134054,"mystery, thriller, crime"
116826,romance
22631,romance
199064,children
83468,romance
215592,romance
571968,"history, historical fiction, biography"
233624,non-fiction
141835,poetry
84222,"mystery, thriller, crime"
56542,"mystery, thriller, crime"
66834,"mystery, thriller, crime"
173103,"fantasy, paranormal"
21684,young-adult
69767,non-fiction
63527,young-adult
108281,"history, historical fiction, biography"
54980,"mystery, thriller, crime"
140166,"comics, graphic"
212077,young-adult
35259,"fantasy, paranormal"
153909,"mystery, thriller, crime"
224310,romance
97957,romance
142161,"fantasy, paranormal"
124178,romance
274062,"mystery, thriller, crime"
413077,poetry
67792,"mystery, thriller, crime"
77833,"history, historical fiction, biography"
331437,"history, historical fiction, biography"
58924,"fantasy, paranormal"
23726,"mystery, thriller, crime"
7139,non-fiction
150150,non-fiction
244064,"mystery, thriller, crime"
