book_id_csv,genres
46500,"history, historical fiction, biography"
57930,"comics, graphic"
4674,"fantasy, paranormal"
84701,romance
17183,"mystery, thriller, crime"
21708,young-adult
55268,"fantasy, paranormal"
119625,"fantasy, paranormal"
146818,children
169983,romance
157903,"history, historical fiction, biography"
19211,"comics, graphic"
126064,non-fiction
107333,"fantasy, paranormal"
46924,"history, historical fiction, biography"
3119,"fantasy, paranormal"
38589,young-adult
97189,"mystery, thriller, crime"
47167,"history, historical fiction, biography"
104169,romance
147145,"fantasy, paranormal"
7043,romance
57,romance
130348,young-adult
82440,"history, historical fiction, biography"
89758,"fantasy, paranormal"
159383,"history, historical fiction, biography"
89846,young-adult
6017,"fantasy, paranormal"
3302,young-adult
74052,children
25529,non-fiction
12700,romance
4962,young-adult
21366,"fantasy, paranormal"
31967,non-fiction
36177,romance
5302,"fantasy, paranormal"
154469,"history, historical fiction, biography"
4917,"fantasy, paranormal"
115526,"history, historical fiction, biography"
134638,non-fiction
47445,non-fiction
220941,"mystery, thriller, crime"
93768,"fantasy, paranormal"
370036,fiction
265032,fiction
57914,"fantasy, paranormal"
71792,"mystery, thriller, crime"
96252,romance
2621,"fantasy, paranormal"
12623,romance
16264,"fantasy, paranormal"
119601,"fantasy, paranormal"
22494,non-fiction
37937,"comics, graphic"
276501,"mystery, thriller, crime"
5979,young-adult
57346,romance
65969,romance
25502,"fantasy, paranormal"
4992,romance
27344,romance
12238,romance
58822,young-adult
18251,"history, historical fiction, biography"
12196,romance
12461,romance
41695,"fantasy, paranormal"
12039,romance
40108,"mystery, thriller, crime"
5930,"fantasy, paranormal"
31270,children
55817,"history, historical fiction, biography"
253020,"mystery, thriller, crime"
1837,"fantasy, paranormal"
111099,romance
350648,"fantasy, paranormal"
104134,"history, historical fiction, biography"
92210,romance
63350,"mystery, thriller, crime"
169494,"fantasy, paranormal"
12024,romance
56350,"mystery, thriller, crime"
1672,"mystery, thriller, crime"
168676,non-fiction
54527,"mystery, thriller, crime"
1385,"history, historical fiction, biography"
166917,"history, historical fiction, biography"
251323,children
21292,"history, historical fiction, biography"
126109,romance
42130,"mystery, thriller, crime"
2635,romance
326171,young-adult
114153,"history, historical fiction, biography"
149421,"comics, graphic"
27560,"fantasy, paranormal"
375919,"fantasy, paranormal"
112243,"fantasy, paranormal"
68263,"history, historical fiction, biography"
113244,non-fiction
32191,"history, historical fiction, biography"
184144,non-fiction
1728,"fantasy, paranormal"
83218,"mystery, thriller, crime"
39969,"history, historical fiction, biography"
143511,non-fiction
31770,"comics, graphic"
176241,"fantasy, paranormal"
178565,young-adult
21352,"fantasy, paranormal"
113776,non-fiction
17929,non-fiction
9081,"mystery, thriller, crime"
163807,romance
143849,"comics, graphic"
392836,romance
107354,"fantasy, paranormal"
41650,"mystery, thriller, crime"
37331,young-adult
389,non-fiction
36275,romance
650,non-fiction
1688,young-adult
95028,"fantasy, paranormal"
24482,romance
83795,"comics, graphic"
129113,romance
67659,"comics, graphic"
236050,"mystery, thriller, crime"
48873,poetry
35702,"fantasy, paranormal"
101014,non-fiction
9342,romance
14123,"fantasy, paranormal"
293977,"comics, graphic"
58457,young-adult
50815,young-adult
169777,romance
1303,non-fiction
63,"fantasy, paranormal"
1557,romance
17850,"fantasy, paranormal"
100212,"fantasy, paranormal"
22375,"fantasy, paranormal"
57368,"comics, graphic"
17142,"mystery, thriller, crime"
94955,"fantasy, paranormal"
46605,"history, historical fiction, biography"
82189,children
71,"history, historical fiction, biography"
8817,romance
51883,young-adult
80011,children
48235,young-adult
129244,romance
32469,"history, historical fiction, biography"
124328,romance
51880,"history, historical fiction, biography"
20674,young-adult
155340,"mystery, thriller, crime"
135570,romance
57111,young-adult
40335,romance
7672,"history, historical fiction, biography"
79596,romance
49511,fiction
57130,"comics, graphic"
199870,young-adult
212318,poetry
40104,romance
30211,"mystery, thriller, crime"
17388,"comics, graphic"
8215,"fantasy, paranormal"
328527,young-adult
91522,"history, historical fiction, biography"
14952,children
88442,"comics, graphic"
25516,"history, historical fiction, biography"
46521,"fantasy, paranormal"
60103,"mystery, thriller, crime"
19509,young-adult
150245,"mystery, thriller, crime"
150629,romance
84436,"fantasy, paranormal"
184690,romance
264388,"fantasy, paranormal"
69802,"history, historical fiction, biography"
177517,non-fiction
291777,"mystery, thriller, crime"
73825,"history, historical fiction, biography"
253566,"comics, graphic"
8343,"mystery, thriller, crime"
32162,poetry
94182,non-fiction
18456,romance
96378,"history, historical fiction, biography"
21429,"history, historical fiction, biography"
266452,romance
35405,romance
39263,"fantasy, paranormal"
37350,"history, historical fiction, biography"
118357,"fantasy, paranormal"
71432,"fantasy, paranormal"
293928,"comics, graphic"
17240,young-adult
6404,"fantasy, paranormal"
307630,"mystery, thriller, crime"
42566,"history, historical fiction, biography"
92288,non-fiction
28556,"history, historical fiction, biography"
97941,romance
35028,"history, historical fiction, biography"
222518,"mystery, thriller, crime"
374247,"fantasy, paranormal"
12866,"mystery, thriller, crime"
68270,non-fiction
22853,young-adult
75893,romance
80650,romance
331483,romance
39354,"fantasy, paranormal"
193787,young-adult
25121,romance
25640,"mystery, thriller, crime"
80723,young-adult
30982,children
37218,"history, historical fiction, biography"
47622,"mystery, thriller, crime"
153767,"history, historical fiction, biography"
64866,romance
22470,young-adult
90964,"fantasy, paranormal"
111329,romance
263698,"history, historical fiction, biography"
93910,"history, historical fiction, biography"
71374,"history, historical fiction, biography"
148931,romance
75605,young-adult
3261,"fantasy, paranormal"
13569,romance
308279,"mystery, thriller, crime"
5210,"fantasy, paranormal"
56,"history, historical fiction, biography"
142824,"comics, graphic"
24041,non-fiction
22474,"history, historical fiction, biography"
60105,"mystery, thriller, crime"
183466,"fantasy, paranormal"
216454,"fantasy, paranormal"
309295,romance
319219,"history, historical fiction, biography"
165814,fiction
73845,"fantasy, paranormal"
106729,"mystery, thriller, crime"
106722,"mystery, thriller, crime"
139854,"fantasy, paranormal"
72380,non-fiction
128551,"fantasy, paranormal"
64870,romance
570265,"comics, graphic"
311087,"fantasy, paranormal"
19393,"fantasy, paranormal"
67488,young-adult
509061,non-fiction
111066,romance
97907,romance
20527,"history, historical fiction, biography"
18956,children
66050,"history, historical fiction, biography"
104339,non-fiction
257796,"mystery, thriller, crime"
85411,"mystery, thriller, crime"
88743,"fantasy, paranormal"
94036,non-fiction
52684,"history, historical fiction, biography"
41820,"comics, graphic"
101123,romance
24281,"mystery, thriller, crime"
136010,romance
20324,"mystery, thriller, crime"
56730,romance
71368,romance
60372,"comics, graphic"
248289,"fantasy, paranormal"
16939,non-fiction
63266,"history, historical fiction, biography"
44962,romance
36688,"mystery, thriller, crime"
14023,"fantasy, paranormal"
574211,young-adult
82432,non-fiction
63138,"fantasy, paranormal"
132067,"mystery, thriller, crime"
6564,"fantasy, paranormal"
275652,"fantasy, paranormal"
